IP Address,MAC Address,Serial Number
10.175.57.38,F8:CE:07:56:A4:A4,AH040EAPAG07265
10.175.57.39,F8:CE:07:56:A6:29,AH040EAPAG07654
10.175.57.40,F8:CE:07:56:A4:6C,AH040EAPAG07209
10.175.57.64,FC:5F:49:8E:87:50,9L04A66PAGA4D0C
10.175.57.66,FC:5F:49:A7:B2:F5,9L0798CPAGA8350
10.175.57.67,FC:5F:49:A7:B4:8B,9L0798CPAG37F13
10.175.57.72,FC:5F:49:A7:B2:FA,9L0798CPAG435C1
10.175.57.73,FC:5F:49:A7:B2:9D,9L0798CPAG056B6
10.175.57.76,FC:5F:49:A7:B2:EF,9L0798CPAGDC9B1
10.175.57.80,FC:5F:49:8E:87:05,9L04A66PAG727F2
10.175.57.81,FC:5F:49:A7:B2:EC,9L0798CPAG0AFE6
10.175.57.87,FC:5F:49:8E:86:FE,9L04A66PAGA13F2
10.175.57.88,FC:5F:49:8E:86:FC,9L04A66PAG9FB6E
10.175.57.91,FC:5F:49:A7:B2:FB,9L0798CPAGE23F0
10.175.57.92,FC:5F:49:A7:B3:03,9L0798CPAG7D244
10.175.57.94,FC:5F:49:A7:B2:FC,9L0798CPAG928F4
10.175.57.95,FC:5F:49:8E:86:AB,9L04A66PAG2DDE2
10.175.57.96,FC:5F:49:A7:B3:2B,9L0798CPAG9D062
10.175.57.98,FC:5F:49:A7:B4:94,9L0798CPAGF01A4
10.175.57.99,FC:5F:49:A7:B4:9A,9L0798CPAG3C490
10.175.57.181,FC:5F:49:C4:A6:61,9L0F458PAG79F28
10.175.57.182,FC:5F:49:C4:A3:F8,9L0F458PAG0584D
10.175.57.183,FC:5F:49:C4:A6:5E,9L0F458PAG68330
10.175.57.184,FC:5F:49:A4:5B:FC,9L04940PAG4954E
